dataset,construction,link,u_quantile,u_cut,panels,share_median,share_p90,alpha,beta_lambda,frac_beyond_frontier
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.99,2.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.99,5.0,0.0
helpsteer,attribute_vote_smoothed,logit,1.0,2.6062282624455397,1500,0.0094403918194705,0.0612792320004291,0.99,10.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.5,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.5,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.5,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.5,10.0,0.0073333333333333
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.8,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.8,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.8,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.8,10.0,0.004
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.9,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.9,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.9,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.9,10.0,0.0026666666666666
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.95,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.95,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.95,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.95,10.0,0.0026666666666666
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.99,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.99,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.99,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.1,0.6943291523732985,1500,0.0004807651359766,0.2502403825679883,0.99,10.0,0.0026666666666666
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.5,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.5,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.5,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.5,10.0,0.0026666666666666
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.8,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.8,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.8,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.8,10.0,0.0026666666666666
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.9,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.9,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.9,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.9,10.0,0.0026666666666666
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.95,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.95,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.95,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.95,10.0,0.0026666666666666
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.99,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.99,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.99,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,0.25,1.1046975114189126,1500,0.0313048520722325,0.1669064260320659,0.99,10.0,0.0026666666666666
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.5,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.5,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.5,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.5,10.0,0.0013333333333333
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.8,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.8,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.8,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.8,10.0,0.0006666666666666
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.9,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.9,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.9,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.9,10.0,0.0006666666666666
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.95,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.95,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.95,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.95,10.0,0.0006666666666666
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.99,1.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.99,2.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.99,5.0,0.0
ultrafeedback,attribute_vote_smoothed,logit,1.0,2.456571758378515,1500,0.0318442203151838,0.1097768785718007,0.99,10.0,0.0006666666666666
