series,dataset,construction,alpha,beta_lambda,frac_beyond_frontier,gamma_median,entropy_median,panels
"MT-Bench, human votes per question",mt_bench_human,votes_smoothed,0.9,2.0,0.075,0.0390260249725893,0.7248661652850414,160
"MT-Bench, human votes per question",mt_bench_human,votes_smoothed,0.9,5.0,0.1375,0.004505925501231,0.7002277379109532,160
"MT-Bench, human votes per question",mt_bench_human,votes_smoothed,0.9,10.0,0.25625,2.7220436189359236e-05,0.6947374489636864,160
"MT-Bench, human votes per question",mt_bench_human,votes_smoothed,0.95,1.0,0.075,0.0195130124862947,0.7248661652850416,160
"MT-Bench, human votes per question",mt_bench_human,votes_smoothed,0.95,2.0,0.075,0.0049465631916886,0.7029716580132921,160
"MT-Bench, human votes per question",mt_bench_human,votes_smoothed,0.95,5.0,0.125,1.3610231193861974e-05,0.6947374489636866,160
"MT-Bench, human votes per question",mt_bench_human,votes_smoothed,0.95,10.0,0.25,3.708632792918892e-08,0.6935628477279623,160
"MT-Bench, human votes per question",mt_bench_human,votes_smoothed,0.99,1.0,0.075,2.72204317423058e-06,0.6947374489636864,160
"MT-Bench, human votes per question",mt_bench_human,votes_smoothed,0.99,2.0,0.075,9.56593303625249e-09,0.6935628477279623,160
"MT-Bench, human votes per question",mt_bench_human,votes_smoothed,0.99,5.0,0.11875,9.058249656424816e-09,0.693240456024263,160
"MT-Bench, human votes per question",mt_bench_human,votes_smoothed,0.99,10.0,0.24375,2.6760207678434913e-09,0.6931764051346512,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.5,1.0,0.0,0.1533371558332649,1.2265558156134035,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.5,2.0,0.0,0.0715995729246705,0.3153893715038852,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.5,5.0,0.00625,0.0002754694306121,0.001014847870018,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.5,10.0,0.0375,9.331870831387008e-09,3.2941878945317944e-08,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.8,1.0,0.0,0.01288133769574,0.1311145093433965,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.8,2.0,0.0,0.0001101877722448,0.001014847870018,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.8,5.0,0.0,1.920104722578277e-11,1.679786949010568e-10,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.8,10.0,0.0,3.0656643629936997e-23,3.825795264451347e-22,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.9,1.0,0.0,5.509388612243442e-05,0.001014847870018,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.9,2.0,0.0,1.86637416627739e-09,3.294187894531781e-08,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.9,5.0,0.0,1.5328321814968498e-23,3.825795264451347e-22,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.9,10.0,0.0,4.270334247422591e-47,1.065832563970346e-45,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.95,1.0,0.0,9.331870831387143e-10,3.2941878945318566e-08,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.95,2.0,0.0,3.620488299408517e-19,1.80727507656455e-17,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.95,5.0,0.0,2.1351671237115563e-47,1.065832563970466e-45,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.95,10.0,0.0,8.285837227348857e-95,4.1361236029694675e-93,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.99,1.0,0.0,4.270334247423153e-48,1.0658325639704693e-45,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.99,2.0,0.0,1.657167445469758e-95,4.1361236029694675e-93,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.99,5.0,0.0,3.0264254883993327e-238,7.553654236581161e-236,160
"MT-Bench, GPT-4 votes per question",mt_bench_gpt4,votes_smoothed,0.99,10.0,0.0,0.0,-0.0,160
